month;2014;2015;2016;2017;2018;2019;2020;2021
august;53.32 ;63.29 ;73.45 ;59.73 ;72.43 ;69.95 ;108.70 ;157.94 
september;53.20 ;67.93 ;73.22 ;58.80 ;74.35 ;73.00 ;123.52 ;157.79 
