94.16;90.08;63.17;53.57;36.85;40.94;56.2;80.02
0;0.27;0.21;0.85;0.14;0.74;0.86;0.18
1.3;0;1.65;1.36;1.13;1.11;1.94;1
0;3.49;6.38;6.46;9.42;9.99;10.46;6.3
0.65;1.61;4.94;5.27;6.61;5.18;5.39;2.46
0.65;1.34;5.14;4.42;6.61;5.8;3.78;1.46
0;1.07;4.12;5.78;7.59;5.92;3.45;1.92
0;1.07;3.5;6.12;7.17;6.54;3.99;1.55
0.97;0.27;3.29;4.42;7.88;6.91;5.93;2.1
0;0.54;0.82;1.7;6.19;7.4;3.56;1.28
1.62;0;1.23;3.4;4.22;4.19;1.29;0.36
0.65;0;1.03;1.36;1.97;1.36;0.54;0.46
0;0;1.23;0.68;1.27;0.49;0.65;0.27
0;0.27;0.82;0.85;0.7;0.99;0.11;0.09
0;0;0.41;0.34;0;0.99;0.22;0.27
0;0;0.82;1.19;0.56;0.62;0.86;0.09
0;0;0.41;0.51;0.56;0.62;0.11;0
0;0;0.41;0.17;0.28;0;0.32;0.18
0;0;0.21;1.02;0.14;0;0.11;0
0;0;0.21;0;0;0.25;0.11;0
0;0;0;0.34;0;0;0;0
0;0;0;0;0.28;0;0;0
